"name","boat_type","length","double_cabins","wc"
"360",1,10.34,3,1
"ZEN",1,13.10,4,2
"America",2,15.54,4,5
"Ziellos",1,10.75,3,2
"Domino",2,11.90,4,2
"Ginger I",2,12.80,4,5
"Sirius",1,15.43,3,3
"AMELIA",2,12.80,4,4
"EVA",1,13.65,4,4
"GALILEE",1,15.38,4,3
"MICHELE",3,24.00,4,4
"Given To Fly",1,15.60,4,3
"Axiera",1,18.24,3,3
"Theagenis",1,13.65,4,2
"Dalian",1,15.60,5,3
"Little Darling",1,12.90,3,2
"Quarto di Luna",1,12.35,3,2
"Zoe",1,14.51,4,2
"MICHELINO",1,14.33,4,3
"Sofia III",1,17.01,2,4
"DAIMLER",1,12.38,3,2
"Damada",1,13.05,4,2
"PELEGRIN",1,14.40,3,2
"PROTEGE",1,11.47,3,1
"Sofia IV",1,15.62,4,3
"ath41903",1,12.34,3,2
"Vijaru",2,11.55,4,2
"Euphoria",2,11.74,3,2
"Azelija",4,11.90,3,1
"ath42i03",1,12.85,3,2
"Catmandu",2,11.73,3,3
"Escape",1,13.85,4,2
"KADENA",1,32.00,6,6
"MIKI",1,11.23,3,2
"Papple",1,10.75,3,1
"ath42i12",1,12.85,3,2
"ath49ds02",1,14.00,4,3
"MILOS",1,13.34,3,2
"Sun Kiss",1,13.34,4,2
"MOONWALK",2,11.89,4,2
"Poseidon",2,13.61,4,4
"Sofoula",1,12.35,3,2
"SOGNO",1,9.45,2,1
"ath44901",1,13.76,3,2
"HARMONIA",1,12.50,3,2
"COCO LOCO",2,12.00,4,4
"DALMAR",1,9.99,3,1
"Minandra",1,13.34,3,2
"Recidive",1,10.60,3,1
"Skyfall",1,15.60,5,3
"Tonka mala",1,11.55,3,1
"Amistade",4,13.00,2,2
"Minha Menina",2,11.59,3,2
"Daniela II",2,13.72,4,4
"Iskra",1,12.80,3,1
"Wind of change Catamaran Bali",2,13.60,4,4
"Tortilla",2,11.74,4,4
"Amaral",1,11.25,3,1
"AZETA II",2,15.54,4,4
"Cayetana",1,14.60,4,4
"ALENA",1,11.30,3,1
"Minta",1,9.99,3,1
"PASKO I",1,15.80,5,5
"Power 474-Club",,14.33,4,5
"Red Twin",2,13.96,4,4
"ath45ds01",1,13.75,3,2
"Touch of Freedom",1,12.50,3,2
"KAI",1,11.20,3,1
"MIRO I",2,13.60,4,4
"China girl",1,11.10,3,1
"REGGIANI",1,11.23,3,2
"EVA SO519",1,15.75,4,3
"Sandpiper",1,11.10,2,1
"CEILIDH OF LORNE",1,14.19,3,2
"SAFRAN",2,13.00,4,4
"EVROPI",1,12.00,3,2
"ath47903",1,14.43,4,4
"Miss C",1,16.16,4,4
"Addicted",1,11.40,3,1
"Alba",1,10.76,3,1
"Firefly",1,11.40,3,1
"MISS DEVEREUX",1,13.75,4,2
"Miss Windy II",1,9.60,2,1
"s.y Filippa",1,9.85,2,1
"Toya II",1,15.59,4,3
"why not 10",1,10.00,2,1
"ath4907",1,14.98,4,4
"NATALIE",4,7.50,2,1
"Fan Fan",1,14.27,4,3
"Chimaera",1,12.85,2,2
"Wind of change Crew Catamaran Bali",2,13.60,4,4
"Galina",2,11.50,4,2
"Ganges",1,15.10,4,3
"1 LOVE",2,13.75,4,4
"AZZURRA",2,15.84,5,6
"Fair Play",4,12.40,2,2
"Dream 2",4,12.31,2,2
"FORMION",1,10.76,3,1
"1069 VD",4,11.75,2,1
"Patmos",1,11.10,3,1
"Procida",1,12.14,3,2
"Delfios",1,15.98,2,5
"Winnie",2,12.00,4,4
"Anguilla",1,15.62,3,3
"Brusselles",1,12.00,3,1
"Vanora",2,13.96,4,4
"Zeitlos",1,11.40,3,1
"Fantasy",1,15.40,3,3
"Lampuga",1,12.60,4,2
"ath5301",1,16.16,4,3
"Dream 3",1,10.30,2,1
"Gandalf",4,13.72,2,2
"ATHINA",1,16.19,5,5
"CHARRETTE V",2,11.55,4,2
"SUNSHINE I",2,13.96,6,4
"Zephyr",1,13.34,2,2
"GASTON",1,8.99,3,1
"Summer Breeze",2,12.98,4,4
"BUBU",4,20.05,4,3
"Demonio de Tasmania",1,13.10,4,2
"2010",2,13.25,4,4
"Sunsail 384/4/2",2,11.58,4,2
"2010 + skipper",2,13.61,4,4
"MISS U - BVI",1,13.34,4,2
"Gatsby",1,16.75,4,3
"Endless",1,13.09,3,3
"STAR ELISABETH",1,10.66,3,1
"Missy",1,10.45,3,2
"Žlahtina",1,14.40,4,2
"Sveti Ivan - BT",1,11.23,3,2
"ath54ds06",1,16.75,4,5
"BABUSHKA",1,12.35,3,2
"Clouds (skipper, cook&hostess included)",2,21.34,4,4
"Dino",2,11.59,4,4
"Gea I",1,14.40,4,2
"SOFIA III",1,17.01,4,5
"Gemini",1,10.85,2,1
"GS2",2,12.80,4,4
"Vinni",1,15.60,5,3
"Va Via",1,11.62,3,1
"Veles",1,12.35,3,2
"4 - PANACEA",1,15.40,3,3
"Vintage",4,11.99,2,1
"SPARKLING",1,12.43,3,2
"Anastacia",1,13.72,4,2
"AQUAMARINE",2,13.96,3,3
"GERINI",1,14.33,4,3
"TBN",1,13.76,4,2
"Wonderland",2,12.00,4,4
"AGA",4,9.99,0,1
"DREAM MAYREAU",2,17.81,6,6
"Xantipa",1,14.60,4,3
"Lepanto",2,15.54,5,5
"Essi",1,9.99,3,1
"Mokai",4,11.28,1,1
"Ananija",1,14.40,4,2
"African Skimmer",1,12.82,3,2
"Claridad",1,13.72,4,2
"ANDRIJA",1,13.85,4,2
"ATHOS",1,12.38,3,2
"Phimabeol",2,12.00,4,2
"COLOMBO",2,15.84,5,6
"PILU",1,12.17,3,2
"Sophie",1,10.85,2,1
"Ana Marija",1,12.60,4,2
"Geronimo's",2,14.75,4,5
"Go One",1,15.60,3,3
"Free Bird",1,15.27,2,2
"Vitamin Sea",1,14.27,4,3
"PHONIX II",1,12.35,3,2
"Semele",2,11.55,4,2
"Slunicko",1,12.38,3,2
"Aposperitis",1,12.35,3,2
"A Scheenes",1,14.27,4,3
"BURA",1,11.40,3,1
"Vito III - BT",1,16.06,4,3
"Gilda II",1,12.85,3,2
"HERMES",1,14.40,3,2
"Mollan II",1,14.27,4,3
"Sanja 1",4,14.55,3,3
"Butterfly",2,13.96,4,4
"Bura - 15",1,11.30,3,1
"Insula",1,11.10,3,1
"Saphir",2,11.98,4,4
"SEMELE",1,13.95,3,2
"Vivace",1,12.34,3,1
"MOLLY TOO",1,15.75,3,2
"Roxani",1,13.70,4,3
"Achi",1,9.76,2,1
"ATTILA",1,15.38,4,3
"Embla af Carlscrona",1,13.34,3,2
"Espada",1,14.40,4,2
"Buri",1,10.45,2,1
"Estelle",1,15.38,5,3
"Mon Diamant",2,13.96,5,4
"Sealife",4,12.30,2,1
"4 me",2,12.61,4,4
"FURIA",4,9.75,1,1
"McLir",1,13.50,4,2
"Senza pensieri II",1,14.15,4,3
"Eternal Love",1,13.94,4,2
"Butterfly",2,11.93,6,4
"watchingman",1,14.20,4,2
"Fenix",1,12.00,3,2
"REBECCA",1,10.98,3,1
"Ronja",1,10.28,3,1
"V I",4,6.25,2,0
"Atena",1,11.30,3,1
"Aladar",1,15.40,4,3
"Fata Frettolosa",1,17.15,5,5
"Xenia",1,13.99,3,2
"BYC ANGRA",1,15.62,4,4
"Ad Ag",1,13.72,4,2
"Callisto",1,24.30,3,1
"DIOGENES",2,13.60,4,4
"Acqu",1,11.47,3,1
"Cangarguelles",1,12.34,3,1
"Evelina",1,14.10,4,2
"Frodo",1,11.77,3,2
"Ružica",1,12.35,3,2
"Gold Digger",4,17.00,3,3
"GORKI",1,11.29,3,1
"Yana",2,11.50,4,2
"MOON SHADOW",2,17.68,5,6
"Yankee",1,10.60,3,1
"Empression",1,13.85,3,2
"Olala",1,13.95,4,2
"Calliope",1,10.25,2,1
"Game Point",1,15.50,5,3
"Grace of Sweden",1,17.38,4,4
"Zeus",1,13.05,4,2
"Green Island",1,15.40,5,3
"MARMAR",2,13.96,4,4
"ISTION",2,11.50,4,2
"Vikingfjord",1,14.27,3,2
"Sparta",1,14.15,4,4
"Big AS",1,15.40,5,3
"Vores",1,15.62,4,3
"Yankee",1,13.95,4,2
"Moorings 41.3 - Club",1,12.19,3,2
"Pindur",1,10.75,3,1
"Alboran XXVI Piñacolada",1,13.40,3,2
"CURRADI",1,14.27,4,3
"Emotion",1,13.75,4,2
"Helios",1,10.34,3,1
"PLATON",2,11.97,4,4
"Sunsail 41/3/2 Premier",1,12.19,3,2
"Seabird",1,13.95,4,2
"IMAGINE",1,14.15,3,2
"PINGUINO",1,14.12,2,2
"ISMINI",1,11.10,3,1
"Elena R",2,17.26,6,6
"Freedom",1,12.13,3,1
"Calma",1,11.48,3,2
"ENDLESS SUMMER",2,14.63,4,4
"BALTRA",1,15.88,3,3
"Hermes",1,13.85,3,2
"VIRGINIA",1,15.20,4,2
"Enija",1,20.10,3,4
"Sunsail 41/3/2 Premier",1,12.19,3,2
"Ian",5,8.60,1,1
"Grande Dame",2,17.01,5,5
"CALLISTO",2,13.96,3,3
"B",,2.79,0,0
"BABY",1,12.15,3,2
"Lazy Beach",2,15.84,5,5
"ZANTE",1,13.09,3,3
"Ždrelac",4,10.00,3,1
"Alboran Cachaça",2,14.05,4,4
"STAND BY ONE",2,14.98,6,6
"One More",1,17.70,4,4
"Zarif",1,9.60,2,1
"Hangover",1,14.85,5,3
"SUN ODYSSEY 44i LEF",1,13.72,4,2
"Vivo NEW SAILS",1,13.76,4,2
"Wayward Prince",1,14.63,4,3
"SAO",2,14.00,4,4
"Nata",1,15.60,5,3
"GENEVA",1,11.35,3,1
"Zahir",1,15.70,3,3
"Rockstar",2,10.52,2,2
"GALEAUX",2,15.24,5,5
"Lag4201",2,12.80,4,4
"VOYAGE 480 007",2,15.10,4,4
"MALIZA",1,14.40,4,2
"Sun Odyssey 49",1,14.98,4,4
"Sun of Life",1,14.40,4,3
"VS/ EuroClasssic 139GC",5,10.85,2,2
"FEDERICA",1,12.35,3,2
"Wild thing",1,11.33,3,2
"Tonic",1,11.60,3,1
"Figarola",1,14.85,4,2
"ZARA",1,10.45,2,1
"Sunsail 404 - Premier",2,12.19,4,2
"Sunsail 404 - Premier",2,12.19,4,2
"Kalabouri",1,11.20,3,1
"Sunsail 36i/3/1",1,10.97,3,1
"Vivaldi",2,14.30,4,3
"Wave",1,13.99,4,2
"ROSE DE MER",1,12.35,3,2
"NANY",1,12.15,3,2
"EPIFANEIA",2,13.61,4,4
"watchingman",1,14.20,4,2
"Wave",1,14.68,3,2
"Sofia",2,12.37,4,4
"STAR DORIS",1,14.27,4,3
"TERRES FIN",2,11.98,4,4
"Wesilind",1,10.30,3,1
"KOYIN E",1,11.70,3,2
"Volga",1,15.62,4,4
"Weather Report",2,11.74,4,2
"X-Ray",1,10.60,3,1
"Bacaroo",1,11.20,3,1
"GOUNOD",1,14.05,4,4
"AGAMEMNON",1,16.70,4,4
"Favonia",2,14.05,4,4
"Serenesse",1,14.63,4,3
"MARTINA",4,10.60,2,1
"SERENITY",1,13.98,4,2
"Alcor",1,13.41,4,2
"LINDESA II",2,15.84,5,6
"Festina Lente II",1,12.90,3,2
"Zefyros",1,14.40,4,2
"THELMA",1,11.23,3,2
"Oceanis 38 T",1,11.50,3,2
"Beauty L",1,13.10,3,2
"Caciarda",2,12.00,4,4
"K2",2,14.30,4,5
"Barbera",1,13.26,4,2
"Matta",4,8.56,1,1
"NO REGRETS",1,16.78,3,3
"Blue Wings",2,13.61,4,4
"ERICA",2,11.50,4,2
"BILLIS",1,11.10,3,1
"Dionisis",1,12.35,3,2
"ZMORAC",1,14.40,4,2
"Gemini",2,12.50,4,4
"ARMSTRONG",1,14.27,4,3
"Salsa",1,11.25,3,1
"BREVA",2,11.98,3,3
"THONIC TEAM III",2,13.71,4,4
"White Pearl",2,11.74,4,2
"2016",1,14.60,4,4
"Thundergirl",1,15.38,3,2
"3900 Cat Stateroom",,11.89,4,2
"2003",4,12.62,2,2
"VENUS",2,12.80,4,4
"ZEUS",2,11.98,4,4
"Tilda",2,15.84,5,5
"Sunsail 444",2,13.41,4,4
"YETI",1,13.67,3,2
"AVANT GARDE",1,11.47,3,1
"Abbey",1,11.92,3,2
"2Bisi",1,14.20,4,2
"Fata Frettolosa",1,17.15,5,5
"Zezo",1,12.15,3,2
"GIJON",1,15.20,4,3
"Lucy Ball",1,14.27,4,3
"TOKAY",2,15.70,4,4
"Xenia",1,11.99,3,2
"Crazy Daisy",4,18.96,3,3
"Forever Maja (ex. Aurora Blue II)",4,16.00,3,3
"X TREME",4,20.73,3,1
"GEORGINA",2,13.61,4,5
"Aura",1,12.35,3,2
"Geronimo",1,12.35,3,2
"Marta X",1,13.85,4,2
"Yerdeniz",1,12.34,3,2
"Enjoy",1,15.40,3,3
"Mystique",1,13.95,4,2
"BIZET",1,14.27,4,3
"Brista",1,14.19,3,2
"Alessandra",1,12.35,3,2
"MONET I",1,15.88,3,3
"ADDAYA",1,12.32,3,1
"Tombo",1,10.66,3,1
"Alessia",1,12.32,3,2
"Nicholas",2,11.98,4,4
"ath3207",1,9.60,2,1
"GODFATHER",2,13.96,4,4
"Erato",1,12.35,3,2
"Tonic",1,13.65,3,2
"Tristaina",1,11.98,3,1
"Giuliana",1,13.05,4,2
"Erika",4,10.50,2,2
"Thin Air",2,11.89,4,2
"GRAČIĆ II",1,13.99,4,2
"Adagio",1,12.35,3,2
"Breeze",1,12.99,3,2
"ZOA",1,13.65,4,2
"Zweigelt",1,11.99,3,1
"Giradora refitting 2017",1,15.40,5,3
"ANNITA",1,14.60,4,3
"Sea Gull",1,13.95,4,2
"Cabin charter Ronik",1,15.39,1,1
"DIVA I",1,13.00,4,2
"ERCO",1,14.15,4,4
"Gordon",1,12.30,3,1
"Adagio",2,11.98,4,2
"PANTA RHEI",1,15.90,3,2
"Nephele",1,15.22,6,4
"Principe Alberto",1,15.62,4,4
"SAGITTA",1,13.85,4,2
"TORONTO",2,15.84,5,6
"Nemesis",1,15.22,6,4
"Fanatika",1,12.90,3,2
"BEAUTY L",1,13.10,3,2
"ZAFIR",1,11.40,3,1
"Sea Runner",2,15.85,5,5
"Vida",1,12.35,3,2
"Trevi",1,13.25,4,2
"Valdeker II",1,13.10,4,2
"VICTOR IV",2,11.97,4,4
"1016 VD",4,10.50,2,0
"ESSENGIE",1,12.35,3,2
"Lemme Lemme",1,12.50,3,2
"Sailitalia 39C",1,11.50,3,2
"Vie D'eau",2,11.50,4,2
"Arya",2,11.99,4,2
"ESCHYLE",2,11.55,4,2
"Fenice",1,13.99,4,3
"B51-2",1,15.59,5,3
"Zedaron",1,15.50,5,3
"Espirito Santo",1,16.06,5,3
"Estella",4,21.20,6,3
"Sunsail 454 - Premier",,13.41,4,4
"EVA   A.",1,12.14,3,2
"Toya",1,13.34,3,2
"Eugenia",1,13.80,4,2
"ORLANDO",1,17.01,4,4
"DREAM 60",2,18.28,6,6
"Duboka",1,15.40,3,3
"SERENITY",2,15.84,5,6
"Vento",1,14.27,4,3
"Hanse 311/2/1",1,9.45,2,1
"Traveller",1,12.34,3,2
"Zlata",2,13.96,4,4
"HAYDN",1,11.30,3,1
"Santa Anastasia",1,13.50,4,2
"(1682 BG)",1,10.45,2,1
"ANTONIOS",1,14.73,4,4
"Vela",1,11.40,3,1
"Victor",1,10.60,3,1
"Vihor - 13",1,14.27,4,3
"8 - ENRICA",1,12.35,3,2
"Ishtar",2,11.74,3,2
"FLYER OF LORNE",1,12.10,3,2
"Grande Zot",6,21.00,1,1
"GUARDA CHE LUNA",1,15.60,4,3
"Smyrna",3,30.00,2,4
"Sunsail 384/4/2",2,11.58,4,2
"U-NEAT",2,12.20,3,2
"2012",1,11.47,3,1
"Adamus",2,11.43,4,2
"Euphoria",4,13.30,4,3
"ZOGRAFIA",1,11.25,3,1
"Minoas",1,16.75,4,3
"2008",4,19.20,3,2
"MIRTA",4,11.82,3,2
"Oceanis 393/3/2",,12.19,3,2
"Serenity",1,12.38,3,2
"Barnacle II",2,12.00,4,4
"Estera",1,13.05,4,2
"Happy B",1,12.35,3,2
"Euphoria",1,13.95,4,2
"CAMINO",1,12.35,3,2
"2003",4,15.32,2,2
"Zoran",2,11.55,4,2
"Sunsail 444",2,13.41,4,4
"2009",1,15.62,5,3
"Cloe Dos",1,11.98,3,2
"Darkness",1,14.00,3,2
"Urania",1,14.07,3,2
"Hakuna Matata",2,11.74,4,2
"Heidi",1,13.85,4,2
"Helios",2,11.97,4,4
"Grdelin",1,10.35,3,1
"Happy Hours",4,14.42,4,4
"Thetis",1,11.40,3,1
"Željana III",1,12.35,3,2
"ZEPHYRA",1,13.65,4,2
"SOLVA",2,13.96,4,4
"VADA LOUINE",2,13.60,4,4
"Vento I",4,14.95,4,3
"DREAM STAR",2,11.00,4,2
"Oceanis 41.1 P",1,12.43,3,2
"Saadet 2",1,12.14,3,2
"HEGOA",2,11.89,4,2
"Uniform",1,10.60,3,1
"VALERIIA",2,11.73,4,4
"ZYNTHA",1,12.38,3,2
"40 feet Motor Yacht Mykonos",4,12.00,1,2
"Arabelle",1,14.73,3,2
"Capoeira",1,11.48,3,1
"Danora",4,8.50,1,1
"Hanna",1,15.38,3,2
"Pershing 45",4,14.60,1,1
"Valerina",1,10.75,3,1
"FUN 4 FRIENDS",1,12.35,3,2
"Wotan",1,14.15,4,3
"Sunsail 39/3/2",1,11.89,3,2
"ABRAKADABRA",1,13.85,3,2
"Calypso",1,11.23,3,2
"ath44i01",1,13.41,4,2
"Cancun Freestyle 37 4pm - 8pm",2,11.28,1,1
"Negroni 2",1,10.34,3,1
"Oceanne",1,10.98,2,1
"Athena",1,13.05,4,2
"No Expectations",2,14.30,4,4
"Sunsail 39i/3/2",1,11.89,3,2
"IO",1,11.20,3,1
"VICTORIA",2,12.00,4,4
"Sunsail 404 - Premier",2,12.19,4,2
"AEROPE",2,13.96,4,4
"ARENDT",1,13.76,3,2
"Abim",1,14.90,3,2
"Sunsail 404 - Premier",2,12.19,4,2
"EUCLIDE",2,13.10,4,4
"HELLAS I",2,11.78,4,2
"Anadea",1,11.90,3,2
"BELLA",1,9.99,3,1
"PAROS",1,14.05,4,4
"Sunsail 404 - Premier",2,12.19,4,2
"Sunsail 39/3/2",1,11.89,3,2
"Sunsail 403 - Premier",2,12.19,3,2
"Euterpé",1,12.35,3,2
"Moorings 4000 - Exclusive",2,12.19,3,2
"REFLECTION",1,13.34,2,2
"Sunsail 384/4/2",2,11.58,4,2
"Sunsail 384/4/2",2,11.58,4,2
"Sunsail 39/3/2",1,11.89,3,2
"Eva",1,15.43,5,3
"Phantom",4,17.00,3,1
"Sunsail 403 - Prem Plus",2,12.19,3,2
"Barracuda Seven",1,16.75,3,3
"Captain John",1,16.70,4,4
"Alkmini",1,11.20,3,1
"Julieta",1,12.60,3,2
"Sunsail 403 - Premier",2,12.19,3,2
"Wing Gull",1,12.34,3,1
"Carlotta",4,10.55,2,1
"Alkyoni",1,15.40,5,3
"Sunsail 403 - Prem Plus",2,12.19,3,2
"Sunsail 384/4/2",2,11.58,4,2
"Barramundi II Grimstad",2,11.99,4,2
"Sunsail 404 - Premier",2,12.19,4,2
"A FULL DECK",2,15.84,5,6
"CHAROULA",1,9.60,2,1
"Vera",1,14.60,4,3
"ROSSINI",1,13.75,3,2
"ARGO",1,13.26,3,2
"Vitae",1,13.95,4,2
"Hesperus",1,14.60,5,3
"PARSIFAL",2,13.96,4,4
"Hercules",2,14.30,4,4
"Vesna",2,12.63,4,2
"Vesta",2,11.50,4,2
"Vivaldi",1,16.72,5,3
"DIAMOND SEA",2,12.00,4,2
"HANA",1,32.00,5,7
"Hang Loose",1,14.15,4,2
"MONTANA",2,11.00,3,1
"HeXe",1,13.50,4,2
"Achilleas",2,11.50,4,2
"ADVENTURE",2,13.96,3,3
"Charoula",1,9.60,2,1
"Dugi II",4,8.00,2,1
"CANBUYON",1,11.47,3,1
"Aurora",1,11.55,3,2
"JOY",2,14.98,6,6
"SHINE",2,11.98,4,2
"Carmenta",1,14.07,3,2
"ath42i02",1,12.85,3,2
"ACRUX",1,9.14,0,1
"Sunsail 404 - Premier",2,12.19,4,2
"Fortissimo  FB",1,15.10,5,2
"CANDY",1,11.10,3,1
"Dora",1,17.37,4,4
"ISABELLA",1,11.72,3,2
"PASO DOBLE",2,14.30,4,4
"Bavaria 42 Mykonos",1,12.55,3,1
"Actaea",1,10.34,3,1
"Regina",1,15.07,4,3
"Azimut 53 Magellano",4,16.89,3,2
"Aida",1,12.99,3,2
"Aviator",4,15.85,2,2
"Pevero",1,15.59,5,3
"Adagio",1,11.40,3,1
"Hanse 312",1,9.45,2,1
"AEGEAN CLIPPER",3,40.00,5,11
"ARTICA",1,14.27,4,3
"Agon",4,15.43,2,2
"Alexa",4,12.70,3,2
"EVEREST",2,12.58,4,2
"Azra",1,13.95,4,2
"ADELANTE",1,11.60,3,1
"SCHRODINGER",1,12.17,3,2
"AGAMEMNON",1,16.75,4,4
"Lotus",1,13.76,3,2
"Sokol",1,14.27,4,3
"Aida 2",1,13.55,3,2
"Homo Delphinus",2,11.60,4,2
"SanSanook",1,11.10,2,1
"Adriatic Expert",1,12.35,3,2
"Venus",1,14.07,3,2
"Smooth Operator",4,16.38,4,3
"Ala Rouge",1,11.40,3,1
"ALCOR",1,13.10,3,2
"AMIRAL",1,15.40,3,2
"Afrodite",1,13.21,3,2
"FOS",1,16.70,4,4
"MH 22",1,15.60,3,3
"Hybrid Auriga",4,9.99,1,1
"Spirit",1,12.35,3,2
"2005",4,13.20,2,2
"Adventus",1,12.80,4,2
"ALADIN",1,13.85,4,2
"Aida",1,11.18,3,1
"VEGA",2,12.50,4,2
"Vuschi",1,15.20,5,5
"Advocat",2,11.93,6,4
"Agata",2,13.96,4,4
"Canopus",1,12.60,4,2
"Aida",2,12.00,4,2
"ALMAK",1,12.60,4,2
"SIXTY",1,9.60,2,1
"Sea Bird",1,10.30,3,1
"ALTAIS",1,16.70,4,3
"FAIAL",1,15.88,3,3
"Seladon II",1,15.42,3,3
"AIFE",1,9.72,2,1
"Cashgar",2,11.59,4,2
"GIASONE",1,14.27,4,3
"IPANEMA",1,10.34,3,1
"SCORPIUS",1,16.46,4,5
"SIESTA",1,10.71,3,1
"ALESSANDRA",1,13.99,4,3
"Chiara",1,9.66,2,1
"Axana",1,15.62,6,3
"Azalea Cruise",4,38.75,9,9
"Ala Blu",1,10.60,2,1
"Andrea",1,13.45,4,2
"Stealth 50",4,15.50,2,2
"Adria Moon",1,10.34,3,1
"ALCYONE",2,12.20,4,4
"Piropo",2,13.00,4,4
"Zdenka",1,13.05,4,2
"Airbender",1,13.76,3,2
"Adonis",2,13.61,4,4
"Windy",1,11.99,3,2
"Happy Hoope",1,13.72,4,2
"Alboran XVI Habana",1,14.95,3,3
"Baba Yaga",1,11.35,3,1
"Baronessen II",1,12.34,3,1
"ANDREA",1,11.20,3,1
"Bavaria 42  Mykonos",1,12.83,3,2
"Sunsail 404 - Prem Plus",2,12.19,4,2
"EL GRECO",1,11.99,3,2
"ALHUHA",4,10.00,1,1
"Legacy 35 11am - 3pm",2,10.52,3,1
"Barba",3,43.00,3,6
"Aggeliki",1,14.53,4,3
"Alaia 0",2,13.96,3,3
"expensive toy",1,9.67,2,1
"Morning Breeze",1,12.35,3,2
"Arancia",3,30.00,6,6
"Barbara",1,15.07,4,4
"Alboran XXVIII Mojito",1,13.25,3,3
"Principessa",1,15.62,4,3
"Sunsail 404 - Premier",2,12.19,4,2
"Alamia",4,7.50,0,0
"BUDDY",1,9.66,2,1
"CARDINCHA",1,12.98,3,2
"Sunseeker 34",4,9.15,1,1
"Annachiara",1,14.27,4,3
"Bavaria 50  Cruiser Mykonos",1,15.40,3,3
"Birdie",1,14.27,4,3
"BACON",2,13.10,4,4
"ALAIN",2,15.84,5,6
"THOXA VIII",1,12.38,3,2
"Cheba",2,15.84,4,5
"BAVARIA 55 CRUISER",1,16.72,5,3
"ath5306",1,16.06,4,3
"Barone - BT",1,12.35,3,2
"Kaygisiz",1,10.71,2,1
"HEGEL",2,11.55,4,2
"ath36i02",1,10.97,3,1
"BALA",1,15.38,4,3
"Barbarella",1,11.10,3,1
"Bavaria Cruiser 41 NEW  ( WP3)",1,12.35,3,2
"Beata",1,10.85,4,2
"FANNY",4,14.00,3,2
"Bach",1,15.40,5,3
"Fee",4,9.80,2,1
"Alba Cat",2,13.96,4,4
"Apollon",1,16.75,5,3
"ath47901",1,14.43,4,4
"ath5305",1,16.06,4,5
"Vili",1,11.90,3,2
"Carmen",1,13.11,3,2
"WAZODEZIL 2",2,13.96,4,4
"Alexe",1,13.26,4,2
"Sirena",1,10.45,2,1
"Alboran XIX Sabor",1,14.33,4,2
"Alfa",1,13.95,4,2
"ath4312",1,13.21,3,2
"Alice af Göteborg",1,14.60,4,2
"ath43ds04",1,13.21,3,2
"Alice",2,11.99,4,3
"Badi",1,10.45,2,1
"Alhenia",1,14.05,4,4
"Gaia",1,13.09,3,3
"Bavaria 40",1,12.00,3,2
"SIRIUS",2,11.50,4,2
"BAIRD",1,12.17,3,2
"Sunsail 404 - Prem Plus",2,12.19,4,2
"Bertl",1,15.75,5,3
"ZAGLAV",1,13.05,3,2
"Sjarm",1,12.35,3,1
"Alicia",1,13.10,3,2
"Sunsail 404 - Prem Plus",2,12.19,4,2
"Alegria",1,11.99,3,1
"BALAOU",2,12.00,4,4
"Sunseeker Portofino 46",4,14.95,2,1
"Alhambra",1,11.55,3,2
"Alinde",1,14.27,4,3
"Anica",1,11.95,3,2
"PLOCICA",1,13.09,4,3
"Alea",1,14.27,4,3
"Anigota",4,23.02,4,4
"Rangaroa",2,11.00,4,2
"Fides",1,11.90,3,2
"Polykandros",1,13.99,3,2
"Sunsail 404 - Prem Plus",2,12.19,4,2
"Delfina",1,15.62,4,4
"Titan",2,11.98,4,2
"Windy One",1,13.99,3,2
"Beatrix",1,14.27,4,3
"Anna",4,13.50,3,2
"BIG TASTY",1,15.36,5,3
"POMONE-15",1,15.38,4,3
"Popeye",1,10.34,3,1
"AURA",1,11.75,3,2
"BACH",1,14.15,4,4
"1 - ARLIX",2,13.30,4,4
"CATAKI",2,11.50,4,2
"NO WORRIES",1,13.85,4,2
"IVA",1,9.45,2,1
"Anna",1,9.55,2,1
"BARTHOLOME",1,12.86,3,2
"Alcor",1,13.72,4,2
"L'OISEAU DES ILES",1,13.75,4,2
"FAT BOY",1,16.75,4,3
"IRACUNDA",2,14.98,5,5
"Beata",1,11.82,3,1
"Beautiful love",1,13.65,4,2
"Balina",1,10.75,2,1
"DELFIS",2,12.00,4,4
"CHALLENGER LANZAROTE",2,13.96,4,4
"Jade IV",1,14.05,4,4
"PORTERUSA",1,12.43,3,2
"Delicato FB",1,13.25,4,2
"BEING NAUTI",2,11.89,4,4
"Sunsail 404 - Prem Plus",2,12.19,4,2
"Alien Planet",2,14.10,4,4
"Castor",1,11.40,3,1
"Poseidon",2,13.96,4,4
"Sunsail 404 - Prem Plus",2,12.19,4,2
"BARBARELLA",1,13.65,3,2
"Bella",1,11.10,3,1
"Present",1,14.27,3,2
"Sunseeker Predator 82",4,24.97,4,3
"Barbera",1,11.28,3,1
"Barketa II",2,12.80,4,4
"CHEEKY LADY",1,14.60,5,3
"Xenia II",2,14.03,4,4
"43Aladar",1,13.21,4,2
"Kalydna",1,11.93,3,2
"Beneteau Oceanis 48",1,14.30,3,2
"Can Drac",1,13.10,3,2
"FEDE",1,11.25,3,2
"FELIX",1,13.85,4,2
"1115 VD",4,9.00,2,0
"Antares",1,14.40,4,3
"BARTOK",1,14.15,4,4
"Barrique",1,11.40,3,1
"Sunsail 404 - Prem Plus",2,12.19,4,2
"Josephine",1,15.10,5,3
"Kairos",1,13.10,3,2
